timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-09-29,0.99200000,1.01200000,0.95000000,0.99000000,2082423.50700000,1601423999999,2031248.92170200,6629,846107.67100000,825972.35669700,0
2020-09-30,0.99000000,0.99400000,0.95700000,0.98000000,979979.70700000,1601510399999,952131.27103500,3642,462545.37300000,449440.75113200,0
2020-10-01,0.98200000,1.04500000,0.93800000,0.95300000,3230671.23400000,1601596799999,3232465.07568700,8019,1596926.03800000,1599341.45109100,0
2020-10-02,0.95300000,1.00000000,0.86200000,0.92300000,3240537.85800000,1601683199999,3002184.10628600,9187,1530371.82900000,1423460.90198700,0
2020-10-03,0.92600000,0.95800000,0.90800000,0.91200000,940820.85800000,1601769599999,883186.91710200,2831,460275.58200000,432038.72974700,0
2020-10-04,0.91000000,0.95000000,0.89900000,0.92500000,1680990.13100000,1601855999999,1554631.88120200,4096,773724.77400000,716055.57761800,0
2020-10-05,0.92200000,0.94400000,0.91200000,0.92400000,1022136.77300000,1601942399999,949234.01969400,2994,509887.36500000,473203.18642900,0
2020-10-06,0.92500000,0.93000000,0.85100000,0.86000000,2136894.50500000,1602028799999,1891836.98431300,6463,740878.56400000,657298.59279700,0
2020-10-07,0.85800000,0.91900000,0.82500000,0.91500000,3628393.97700000,1602115199999,3201452.77686900,10239,1738684.89900000,1539801.72874200,0
2020-10-08,0.91400000,0.94700000,0.87500000,0.92400000,1925727.63000000,1602201599999,1758392.85114300,5911,895124.79200000,818186.41858300,0
2020-10-09,0.92600000,1.00000000,0.90100000,0.96000000,3676727.01500000,1602287999999,3520893.22426000,11363,1860628.30300000,1783125.50052100,0
2020-10-10,0.96000000,0.99400000,0.95400000,0.97000000,1700262.42500000,1602374399999,1656931.80532700,4993,808581.32200000,788310.26901300,0
2020-10-11,0.97100000,0.98000000,0.91100000,0.96000000,2156783.46000000,1602460799999,2056741.66480900,7045,1015061.59600000,970604.85605600,0
2020-10-12,0.95900000,1.05800000,0.94900000,1.01100000,4714420.86300000,1602547199999,4748536.09871600,14608,2371745.08200000,2388826.29513600,0
2020-10-13,1.01100000,1.04000000,0.96700000,0.99100000,2243823.33800000,1602633599999,2248975.78054700,7565,979996.17200000,982804.01206500,0
2020-10-14,0.99200000,0.99600000,0.92700000,0.94100000,1423419.53700000,1602719999999,1373215.45518900,4622,690996.73800000,668320.61556300,0
2020-10-15,0.94100000,0.94600000,0.90600000,0.92900000,1284428.22400000,1602806399999,1189323.16300400,4328,508582.22200000,471144.90254300,0
2020-10-16,0.93100000,0.93900000,0.89000000,0.89700000,1027721.79400000,1602892799999,933283.90852300,3798,413706.95600000,376310.14131100,0
2020-10-17,0.89800000,0.93000000,0.88500000,0.91900000,970951.83600000,1602979199999,884604.98489100,2904,477556.46300000,435644.24825200,0
2020-10-18,0.92000000,0.93700000,0.91000000,0.93300000,498797.81800000,1603065599999,459276.84927500,1885,244708.18900000,225663.66134200,0
2020-10-19,0.93400000,0.93600000,0.90200000,0.90900000,537414.83900000,1603151999999,494508.14044400,2024,241715.27300000,222684.97095100,0
2020-10-20,0.91000000,0.91300000,0.85900000,0.86200000,1356995.93600000,1603238399999,1187291.93777600,4534,455279.42800000,398606.12274700,0
2020-10-21,0.86300000,0.94000000,0.86300000,0.93000000,1611518.85900000,1603324799999,1478860.54372000,5118,810699.95600000,744991.98681100,0
2020-10-22,0.93000000,0.98000000,0.92900000,0.94200000,1584793.34100000,1603411199999,1519346.48383100,5763,893294.63200000,859565.74016900,0
2020-10-23,0.94300000,0.95100000,0.91300000,0.93400000,942823.82600000,1603497599999,879467.42604400,3218,431597.51900000,402880.30443600,0
2020-10-24,0.93500000,0.94900000,0.91300000,0.92900000,714403.81300000,1603583999999,666038.00114300,2460,401112.51800000,374340.09974000,0
2020-10-25,0.93000000,0.94200000,0.90100000,0.90300000,656938.15300000,1603670399999,605803.95358800,2489,275839.78800000,254610.74523600,0
2020-10-26,0.90300000,0.93600000,0.87600000,0.89200000,1036045.09100000,1603756799999,937116.53550200,3994,440032.40300000,398550.24601000,0
2020-10-27,0.89200000,0.91500000,0.88100000,0.90800000,774947.39900000,1603843199999,696547.13531000,3064,314148.28600000,282556.01793500,0
2020-10-28,0.90600000,0.90700000,0.84300000,0.85900000,1732132.82800000,1603929599999,1499969.59115900,5723,442339.57600000,383472.90558000,0
